Thu Oct 16 21:00:02 +0000 2014,Seattle,WA,USA,8
Thu Oct 16 21:14:37 +0000 2014,London,,UK,8
Thu Oct 16 21:04:04 +0000 2014,Quito,,Ecuador,6
Thu Oct 16 21:00:53 +0000 2014,,,Canada,5
Thu Oct 16 21:00:23 +0000 2014,San Fransisco,CA,USA,4
Thu Oct 16 21:09:49 +0000 2014,New York,NY,USA,4
Thu Oct 16 20:59:58 +0000 2014,chicago,IL,USA,4
Thu Oct 16 21:20:42 +0000 2014,boston,MA,USA,4
Thu Oct 16 21:16:57 +0000 2014,Amsterdam,,The Netherlands,4
Thu Oct 16 21:01:10 +0000 2014,Philadelphia,PA,USA,3
Thu Oct 16 21:06:24 +0000 2014,,,USA,3
Thu Oct 16 21:02:31 +0000 2014,Toronto,ON,Canada,2
Thu Oct 16 21:09:23 +0000 2014,Edinburgh,,UK,2
Thu Oct 16 21:12:47 +0000 2014,Casablanca,,Morocco,2
Thu Oct 16 21:14:21 +0000 2014,Berlin,,Germany,2
Thu Oct 16 21:02:04 +0000 2014,Berkeley, CA,USA,2
Thu Oct 16 21:28:46 +0000 2014,,,Norway,2
Thu Oct 16 21:03:17 +0000 2014,,,Hawaii,2
Thu Oct 16 21:07:07 +0000 2014,,AZ,USA,2
Thu Oct 16 23:50:24 +0000 2014,yokohama,, japan,1
Thu Oct 16 21:26:15 +0000 2014,west hollywood,CA,USA,1
Thu Oct 16 21:14:15 +0000 2014,Wellington,,New Zealand,1
Thu Oct 16 21:08:50 +0000 2014,Washington,DC,USA,1
Thu Oct 16 21:08:27 +0000 2014,Warsaw,,Poland,1
Thu Oct 16 21:11:43 +0000 2014,Tustin,CA,USA,1
Thu Oct 16 21:03:14 +0000 2014,toledo,OH,USA,1
Thu Oct 16 21:07:50 +0000 2014,Southampton,, UK,1
Thu Oct 16 21:06:14 +0000 2014,Silicon Valley,CA,USA,1
Thu Oct 16 21:10:47 +0000 2014,Scotland,,UK,1
Fri Oct 17 00:33:54 +0000 2014,San Clemente,CA,USA,1
Thu Oct 16 21:09:08 +0000 2014,Portland, OR,USA,1
Thu Oct 16 21:13:58 +0000 2014,Parsippany,NJ,USA,1
Thu Oct 16 21:02:56 +0000 2014,Paris,,France,1
Thu Oct 16 21:19:31 +0000 2014,Outer Heaven,,Latvia,1
Thu Oct 16 23:59:03 +0000 2014,Ottawa,,Canada,1
Thu Oct 16 21:04:45 +0000 2014,Omaha,NE,USA,1
Thu Oct 16 21:02:15 +0000 2014,oceanside,CA,USA,1
Thu Oct 16 21:02:29 +0000 2014,Oakland,CA,USA,1
Thu Oct 16 23:38:00 +0000 2014,New Delhi,,India,1
Thu Oct 16 21:07:31 +0000 2014,Morgantown,WV,USA,1
Thu Oct 16 21:00:53 +0000 2014,Minneapolis,MN,USA,1
Thu Oct 16 22:58:14 +0000 2014,Melbourne,,Australia,1
Thu Oct 16 21:01:51 +0000 2014,Los Angeles,CA,USA,1
Thu Oct 16 21:17:42 +0000 2014,Ljubljana,,Slovenia,1
Thu Oct 16 21:09:13 +0000 2014,Lisbon,,Portugal,1
Thu Oct 16 21:15:16 +0000 2014,Lake Norman,NC,USA,1
Thu Oct 16 21:22:26 +0000 2014,LA,CA,USA,1
Thu Oct 16 21:03:57 +0000 2014,Ireland,,Dublin,1
Thu Oct 16 21:05:41 +0000 2014,Indianapolis, IN,USA,1
Thu Oct 16 21:05:00 +0000 2014,Glasgow,,UK,1
Thu Oct 16 21:06:33 +0000 2014,Edmonton,AB,Canada,1
Thu Oct 16 23:04:32 +0000 2014,Durban,, South Africa,1
Thu Oct 16 21:03:26 +0000 2014,dublin,,ireland,1
Thu Oct 16 21:09:25 +0000 2014,Coventry,, UK,1
Thu Oct 16 21:01:46 +0000 2014,Colorado Springs,CO,USA,1
Thu Oct 16 21:08:39 +0000 2014,College Park,MD,USA,1
Thu Oct 16 23:20:25 +0000 2014,Chennai,,India,1
Thu Oct 16 23:53:28 +0000 2014,Charlottesville,VA,USA,1
Thu Oct 16 21:04:04 +0000 2014,Calgary, AB,Canada,1
Thu Oct 16 21:09:34 +0000 2014,Buenos Aires,,Argentina,1
Thu Oct 16 21:03:04 +0000 2014,brooklyn ,NY,USA,1
Thu Oct 16 23:12:28 +0000 2014,Brisbane,,Australia,1
Thu Oct 16 21:21:05 +0000 2014,Brasilia,,Brazil,1
Thu Oct 16 21:05:47 +0000 2014,Brampton,ON,Canada,1
Thu Oct 16 21:08:49 +0000 2014,Birmingham,,UK,1
Thu Oct 16 21:04:45 +0000 2014,Austin,TX,USA,1
Thu Oct 16 21:09:26 +0000 2014,Athens,,Greece,1
Thu Oct 16 21:13:11 +0000 2014,astoria,NY,USA,1
Thu Oct 16 22:59:05 +0000 2014,Arlington,VA,USA,1
Thu Oct 16 21:03:51 +0000 2014,,NJ,USA,1
Thu Oct 16 21:11:58 +0000 2014,,,New Caledonia,1
Thu Oct 16 21:05:06 +0000 2014,,TX,USA,1
Thu Oct 16 21:07:53 +0000 2014,,PA,USA,1
Thu Oct 16 21:04:48 +0000 2014,,MO,USA,1
Thu Oct 16 21:01:57 +0000 2014,,MN,USA,1
Thu Oct 16 21:21:42 +0000 2014,,MI,USA,1
Thu Oct 16 21:24:59 +0000 2014,,KS,USA,1
Thu Oct 16 23:03:07 +0000 2014,,IN,USA,1
Thu Oct 16 23:09:42 +0000 2014,,AZ,USA,1
Thu Oct 16 23:17:50 +0000 2014,,CA,USA,1
Thu Oct 16 21:08:30 +0000 2014,,AL,USA,1
Thu Oct 16 21:04:38 +0000 2014,,MA,USA,1
